key;source_1;source_2
15168;1;0
21218;0;1
21222;0;1
21223;0;1
21224;0;1
21225;0;1
21226;0;1
21227;no_data;1
21228;no_data;1
21231;no_data;1
21232;no_data;1
21240;no_data;1
21241;no_data;1
23186;0;1
23186;0;1
23192;0;1
23192;0;1
23205;0;1
23205;0;1
23242;0;1
23242;0;1
23245;0;1
23245;0;1
23249;0;1
23249;0;1
25091;0;1
26204;0;1
26204;0;1
29625;0;1
29625;0;1
29634;0;1
29634;0;1
29636;0;1
29636;0;1
33802;0;1
33805;0;1
38676;0;1
38676;0;1
38678;0;1
38678;0;1
38679;0;1
38679;0;1
38680;0;1
38680;0;1
38685;0;1
38685;0;1
38686;0;1
38686;0;1
38689;0;1
38689;0;1
38691;0;1
38691;0;1
38693;0;1
38693;0;1
41550;0;1
44505;0;1
44505;0;1
44507;0;1
44507;0;1
50470;0;1
50471;0;1
50472;0;1
50473;0;1
55708;0;1
63673;1;0
72289;0;1
72289;0;1
74624;0;1
75443;0;1
75443;0;1
86293;0;1
86293;0;1
91702;0;1
91702;0;1
95810;0;1
101404;0;1
101521;0;1
101521;0;1
101522;0;1
101522;0;1
102823;0;1
103639;0;1
103640;0;1
109735;0;1
109735;0;1
109816;1;no_data
109847;0;1
109847;0;1
109848;0;1
109848;0;1
110088;0;1
110088;0;1
110089;0;1
110089;0;1
110090;0;1
110090;0;1
110091;0;1
110091;0;1
110163;0;1
110163;0;1
110164;0;1
110164;0;1
110164;0;1
110165;0;1
110165;0;1
110392;0;1
110393;0;1
113882;1;0
115686;0;1
115686;0;1
115687;0;1
115687;0;1
116272;0;1
116272;0;1
116273;0;1
116273;0;1
117528;0;1
117615;0;1
117615;0;1
117616;0;1
117616;0;1
117617;0;1
117617;0;1
117618;0;1
117618;0;1
117619;0;1
117619;0;1
117963;0;1
117963;0;1
117964;0;1
117964;0;1
117965;0;1
117965;0;1
117966;0;1
117966;0;1
117967;0;1
117967;0;1
124497;1;0
128392;0;1
128392;0;1
134341;1;0
137959;1;0
144891;0;1
144891;0;1
144892;0;1
144892;0;1
144892;0;1
144893;0;1
144893;0;1
144893;0;1
144894;0;1
144894;0;1
144894;0;1
144895;0;1
144895;0;1
144895;0;1
144896;0;1
144896;0;1
144896;0;1
144897;0;1
144897;0;1
144897;0;1
144898;0;1
144898;0;1
144898;0;1
144899;0;1
144899;0;1
144899;0;1
144900;0;1
144900;0;1
144900;0;1
144901;0;1
144901;0;1
144901;0;1
145323;0;1
145481;0;1
145482;0;1
145483;0;1
145484;0;1
145731;1;0
145740;1;0
145748;1;0
145750;1;0
145751;1;0
145755;1;0
145758;1;0
148260;1;0
155941;0;1
155941;0;1
156095;0;1
156095;0;1
156096;0;1
156096;0;1
157890;1;0
157899;1;0
157930;1;0
161111;1;0
161113;1;0
162606;0;1
162607;0;1
166523;0;1
166524;0;1
166525;0;1
166528;0;1
166529;0;1
166530;0;1
166531;0;1
166532;0;1
174663;1;0
179089;0;1
180611;1;0
182977;0;1
182977;0;1
183449;0;1
183449;0;1
183450;0;1
183450;0;1
183451;0;1
183452;0;1
183453;0;1
183454;0;1
183464;0;1
183464;0;1
183465;0;1
183465;0;1
183466;0;1
183466;0;1
183471;0;1
183471;0;1
183472;0;1
183472;0;1
183473;0;1
183473;0;1
184765;0;1
184765;0;1
184765;0;1
184766;0;1
184766;0;1
184767;0;1
184767;0;1
184768;0;1
184768;0;1
184769;0;1
184769;0;1
184770;0;1
184770;0;1
184771;0;1
184771;0;1
184772;0;1
184772;0;1
184773;0;1
184773;0;1
184774;0;1
184774;0;1
184775;0;1
184775;0;1
184777;0;1
184777;0;1
185142;0;1
185142;0;1
185143;0;1
185143;0;1
185145;0;1
185145;0;1
185146;0;1
185146;0;1
185147;0;1
185147;0;1
185149;0;1
185149;0;1
185150;0;1
185150;0;1
185151;0;1
185151;0;1
185151;0;1
185154;0;1
185154;0;1
185155;0;1
185155;0;1
185156;0;1
185156;0;1
185157;0;1
185157;0;1
185158;0;1
185158;0;1
185159;0;1
185159;0;1
185160;0;1
185160;0;1
192088;0;1
192088;0;1
194735;1;0
195363;0;1
195364;0;1
197700;0;1
197701;0;1
200385;0;1
202013;0;1
207749;0;1
207749;0;1
207750;0;1
207750;0;1
207752;0;1
207752;0;1
207752;0;1
207753;0;1
207753;0;1
208517;0;1
208517;0;1
210179;0;1
210179;0;1
210304;0;1
210304;0;1
211546;0;1
211546;0;1
211547;0;1
211547;0;1
212616;0;1
212616;0;1
213155;0;1
213155;0;1
213156;0;1
213156;0;1
216902;0;1
216902;0;1
216903;0;1
216903;0;1
217053;0;1
217053;0;1
218708;0;1
218708;0;1
218875;1;0
219987;0;1
219987;0;1
219988;0;1
219988;0;1
220653;0;1
220654;0;1
220655;0;1
221352;1;0
223245;0;1
223245;0;1
224592;0;1
224593;0;1
224594;0;1
224597;0;1
224599;0;1
224599;0;1
224600;0;1
224600;0;1
228570;0;1
232374;0;1
232374;0;1
232375;0;1
232375;0;1
235136;0;1
235137;0;1
239636;0;1
239636;0;1
239637;0;1
239637;0;1
239638;0;1
239638;0;1
239639;0;1
239639;0;1
240824;0;1
240824;0;1
240825;0;1
240825;0;1
243340;0;1
243341;0;1
249574;0;1
249574;0;1
249574;0;1
249576;0;1
249576;0;1
249576;0;1
251422;1;0
251428;1;0
251902;0;1
251903;0;1
251904;0;1
251905;0;1
256196;1;0
256637;1;0
257431;0;1
257431;0;1
257432;0;1
257432;0;1
257433;0;1
257433;0;1
257434;0;1
257435;0;1
257806;1;0
258114;0;1
258115;0;1
258164;0;1
258164;0;1
258165;0;1
258165;0;1
258166;0;1
258166;0;1
259556;1;0
259557;1;0
269467;0;1
269467;0;1
269468;0;1
269468;0;1
271142;0;1
271149;0;1
271149;0;1
271150;0;1
271150;0;1
272025;1;0
274512;1;0
278646;0;1
278646;0;1
278647;0;1
278647;0;1
278649;0;1
278649;0;1
278654;0;1
278654;0;1
278655;0;1
278655;0;1
281975;0;1
281976;0;1
281977;0;1
281978;0;1
281979;0;1
281980;0;1
282144;0;1
283416;0;1
283416;0;1
285541;0;1
285541;0;1
288068;0;1
288068;0;1
289041;0;1
290024;0;1
290025;0;1
290271;0;1
290271;0;1
293930;0;1
293931;0;1
294474;0;1
294474;0;1
296269;0;1
296269;0;1
296270;0;1
296270;0;1
296271;0;1
296271;0;1
296272;0;1
296272;0;1
296273;0;1
296273;0;1
296274;0;1
296274;0;1
296275;0;1
296275;0;1
296276;0;1
296276;0;1
296277;0;1
296277;0;1
303185;0;1
303185;0;1
306492;0;1
306492;0;1
306493;0;1
306493;0;1
317077;0;1
317077;0;1
319545;0;1
319545;0;1
319546;0;1
319546;0;1
319547;0;1
319547;0;1
319548;0;1
319548;0;1
319549;0;1
319549;0;1
319550;0;1
319550;0;1
319551;0;1
319551;0;1
319644;0;1
319645;0;1
322694;0;1
322694;0;1
322695;0;1
322695;0;1
324417;0;1
324417;0;1
327605;0;1
327606;0;1
327607;0;1
328582;0;1
328583;0;1
330523;0;1
330524;0;1
330946;0;1
330947;0;1
330948;0;1
332076;0;1
332077;0;1
332342;0;1
332342;0;1
332343;0;1
332343;0;1
332344;0;1
332344;0;1
332345;0;1
332345;0;1
332347;0;1
332347;0;1
332348;0;1
332348;0;1
334293;0;1
334293;0;1
334294;0;1
334294;0;1
334295;0;1
334295;0;1
334296;0;1
334296;0;1
334297;0;1
334297;0;1
336562;0;1
336562;0;1
336563;0;1
336563;0;1
336930;0;1
337447;0;1
337447;0;1
341111;0;1
341112;0;1
341113;0;1
343965;0;1
343965;0;1
343966;0;1
343966;0;1
343967;0;1
343967;0;1
343968;0;1
343968;0;1
343969;0;1
343969;0;1
343970;0;1
343970;0;1
343971;0;1
343971;0;1
343972;0;1
343972;0;1
345062;0;1
346982;0;1
347949;0;1
347949;0;1
348213;0;1
348213;0;1
348214;0;1
348214;0;1
351352;0;1
351353;0;1
351354;0;1
351355;0;1
351356;0;1
356540;0;1
356541;0;1
356542;0;1
361102;0;1
361102;0;1
361103;0;1
361103;0;1
361104;0;1
361104;0;1
361105;0;1
361105;0;1
361106;0;1
361106;0;1
361107;0;1
361107;0;1
365750;0;1
365750;0;1
365751;0;1
365751;0;1
365752;0;1
365752;0;1
365753;0;1
365753;0;1
365754;0;1
365754;0;1
365755;0;1
365755;0;1
365777;0;1
365777;0;1
366560;0;1
366568;0;1
369910;0;1
370056;0;1
370057;0;1
370058;0;1
375987;0;1
375988;0;1
378882;0;1
378883;0;1
378884;0;1
381603;0;1
382395;0;1
382396;0;1
382397;0;1
