Названия строк;s_1;s_2_corr
18;0;no_data
22;0;no_data
49;0;no_data
50;0;no_data
51;1;no_data
52;0;no_data
53;0;no_data
54;0;no_data
55;1;no_data
56;1;no_data
57;1;no_data
59;1;no_data
61;1;no_data
63;1;no_data
64;1;no_data
65;1;no_data
66;1;no_data
67;1;no_data
68;1;no_data
69;1;no_data
70;0;no_data
71;1;no_data
72;1;no_data
73;1;no_data
76;1;no_data
77;1;no_data
78;1;no_data
79;1;no_data
80;1;no_data
81;1;no_data
83;1;no_data
85;1;no_data
86;1;no_data
87;1;no_data
88;1;no_data
89;1;no_data
90;1;no_data
92;1;no_data
94;1;no_data
96;1;no_data
97;1;no_data
99;0;no_data
100;1;no_data
102;1;no_data
105;1;no_data
106;1;no_data
108;1;no_data
109;1;no_data
110;1;no_data
111;1;no_data
116;1;no_data
117;1;no_data
118;1;no_data
119;0;no_data
120;1;no_data
121;1;no_data
123;0;no_data
124;1;no_data
135;1;no_data
136;1;no_data
137;0;no_data
143;1;no_data
145;1;no_data
147;1;no_data
148;1;no_data
150;1;no_data
152;1;no_data
153;1;no_data
159;1;no_data
161;1;no_data
163;1;no_data
164;1;no_data
165;1;no_data
166;1;no_data
167;1;no_data
169;1;no_data
170;1;no_data
171;1;no_data
172;1;no_data
173;1;no_data
174;1;no_data
175;1;no_data
176;1;no_data
177;1;no_data
178;1;no_data
179;0;no_data
180;1;no_data
181;1;no_data
182;1;no_data
183;1;no_data
184;1;no_data
185;1;no_data
186;0;no_data
187;1;no_data
188;1;no_data
189;1;no_data
192;1;no_data
193;1;no_data
196;1;no_data
197;1;no_data
198;1;no_data
199;1;no_data
200;1;no_data
201;1;no_data
202;1;no_data
203;1;no_data
204;1;no_data
252;1;no_data
253;1;no_data
254;1;no_data
255;1;no_data
256;1;no_data
257;1;no_data
258;1;no_data
259;1;no_data
260;1;no_data
261;1;no_data
263;0;no_data
264;1;no_data
311;1;no_data
312;1;no_data
313;1;no_data
314;1;no_data
315;1;no_data
316;1;no_data
317;1;no_data
342;1;no_data
344;1;no_data
345;1;no_data
349;1;no_data
353;1;no_data
356;1;no_data
360;1;no_data
365;1;no_data
371;1;no_data
373;1;no_data
375;1;no_data
376;1;no_data
377;1;no_data
378;1;no_data
379;1;no_data
385;0;no_data
441;1;no_data
443;1;no_data
444;1;no_data
449;1;no_data
457;1;no_data
565;1;no_data
578;1;no_data
579;1;no_data
585;1;no_data
586;1;no_data
587;1;no_data
588;1;no_data
590;1;no_data
591;1;no_data
594;1;no_data
595;1;no_data
596;1;no_data
598;1;no_data
599;1;no_data
601;1;no_data
602;1;no_data
603;1;no_data
604;1;no_data
605;1;no_data
606;1;no_data
608;1;no_data
609;1;no_data
610;1;no_data
611;1;no_data
612;1;no_data
615;1;no_data
617;1;no_data
618;1;no_data
619;1;no_data
620;1;no_data
621;1;no_data
624;1;no_data
625;1;no_data
626;1;no_data
628;1;no_data
629;1;no_data
630;1;no_data
638;1;no_data
640;1;no_data
644;1;no_data
645;1;no_data
646;1;no_data
647;1;no_data
648;1;no_data
649;1;no_data
651;1;no_data
652;1;no_data
701;1;no_data
703;1;no_data
865;1;no_data
1301;1;no_data
1315;1;no_data
1319;1;no_data
1346;1;no_data
1418;1;no_data
1455;1;no_data
1456;1;no_data
1465;1;no_data
1467;1;no_data
1468;0;no_data
1469;1;no_data
1527;1;no_data
1530;1;no_data
1531;1;no_data
1533;1;no_data
1550;1;no_data
1551;1;no_data
1552;1;no_data
1553;1;no_data
1555;1;no_data
1556;0;no_data
1558;1;no_data
1559;1;no_data
1560;0;no_data
1562;1;no_data
1569;1;no_data
1570;1;no_data
1572;0;no_data
1573;0;no_data
1574;1;no_data
1575;0;no_data
1576;1;no_data
1577;1;no_data
1582;1;no_data
1643;1;no_data
1686;0;no_data
1739;1;no_data
1828;1;no_data
1943;1;no_data
2030;1;no_data
2038;1;no_data
2043;1;no_data
2050;0;no_data
2073;1;no_data
2078;1;no_data
2080;1;no_data
2084;1;no_data
2123;1;no_data
2124;1;no_data
2138;1;no_data
2140;1;no_data
2141;1;no_data
2143;1;no_data
2144;1;no_data
2145;1;no_data
2146;1;no_data
2147;1;no_data
2148;1;no_data
2149;1;no_data
2150;1;no_data
2151;1;no_data
2165;0;no_data
2181;1;no_data
2219;1;no_data
2243;1;no_data
2249;1;no_data
2252;1;no_data
2285;1;no_data
2286;1;no_data
2287;1;no_data
2323;1;no_data
2333;1;no_data
2338;1;no_data
2339;1;no_data
2340;1;no_data
2341;1;no_data
2513;1;no_data
2585;1;no_data
2601;1;no_data
2606;1;no_data
2609;1;no_data
2610;1;no_data
2611;1;no_data
2808;0;no_data
2839;1;no_data
2840;1;no_data
2841;1;no_data
2844;1;no_data
2845;1;no_data
2846;1;no_data
2940;1;no_data
2950;1;no_data
2956;1;no_data
3048;1;no_data
3053;1;no_data
3054;1;no_data
3055;1;no_data
3056;1;no_data
3057;1;no_data
3058;1;no_data
3059;1;no_data
3060;1;no_data
3061;1;no_data
3062;1;no_data
3063;1;no_data
3124;1;no_data
3125;1;no_data
3147;1;no_data
3152;1;no_data
3157;1;no_data
3175;1;no_data
3223;1;no_data
3241;1;no_data
3337;1;no_data
3368;1;no_data
3370;1;no_data
3371;1;no_data
3372;1;no_data
3379;1;no_data
3384;1;no_data
3385;1;no_data
3386;1;no_data
3387;1;no_data
3392;1;no_data
3415;1;no_data
3419;1;no_data
3508;1;no_data
3544;1;no_data
3545;1;no_data
3546;1;no_data
3575;1;no_data
3576;1;no_data
3585;1;no_data
3586;1;no_data
3606;1;no_data
3996;1;no_data
4009;1;no_data
4100;1;no_data
4105;1;no_data
4348;1;no_data
4355;1;no_data
4390;1;no_data
4408;1;no_data
4409;1;no_data
4410;1;no_data
4411;1;no_data
4412;1;no_data
4413;1;no_data
4415;1;no_data
4416;1;no_data
4442;1;no_data
4444;1;no_data
4470;1;no_data
4606;1;no_data
4608;1;no_data
4609;1;no_data
4615;1;no_data
4630;1;no_data
4715;1;no_data
4743;1;no_data
4754;1;no_data
4755;1;no_data
4901;1;no_data
4902;1;no_data
4966;1;no_data
4969;1;no_data
4970;1;no_data
4971;1;no_data
4972;1;no_data
4973;1;no_data
4974;1;no_data
4976;1;no_data
4978;1;no_data
4979;1;no_data
4980;1;no_data
4981;1;no_data
4982;1;no_data
5021;1;no_data
5032;1;no_data
5345;1;no_data
5602;1;no_data
5624;1;no_data
5625;1;no_data
5634;1;no_data
5635;1;no_data
5636;1;no_data
5637;1;no_data
5638;1;no_data
5640;1;no_data
5641;1;no_data
5642;1;no_data
5645;1;no_data
5652;1;no_data
5654;1;no_data
5655;1;no_data
5656;1;no_data
5657;1;no_data
5658;1;no_data
5659;1;no_data
5661;1;no_data
5662;1;no_data
5663;1;no_data
5664;1;no_data
5666;1;no_data
5667;1;no_data
5668;1;no_data
5669;1;no_data
5673;1;no_data
5675;1;no_data
5676;1;no_data
5677;1;no_data
5678;1;no_data
5681;1;no_data
5685;1;no_data
5688;1;no_data
5696;1;no_data
5713;1;no_data
5770;1;no_data
5775;1;no_data
5776;1;no_data
5777;1;no_data
5789;1;no_data
5794;1;no_data
5801;1;no_data
5802;1;no_data
5803;1;no_data
5804;1;no_data
5806;1;no_data
5830;1;no_data
5833;1;no_data
5837;1;no_data
5847;1;no_data
5848;1;no_data
5857;1;no_data
5862;1;no_data
5864;1;no_data
5951;1;no_data
6007;1;no_data
6009;1;no_data
6184;1;no_data
6185;1;no_data
6187;1;no_data
6188;1;no_data
6189;1;no_data
6204;1;no_data
6207;1;no_data
6208;1;no_data
6210;1;no_data
6212;1;no_data
6213;1;no_data
6214;1;no_data
6217;1;no_data
6225;1;no_data
6288;1;no_data
6289;1;no_data
6290;1;no_data
6292;0;no_data
6295;1;no_data
6296;1;no_data
6297;1;no_data
6298;1;no_data
6299;1;no_data
6300;1;no_data
6301;1;no_data
6302;1;no_data
6303;1;no_data
6304;1;no_data
6305;1;no_data
6306;1;no_data
6307;1;no_data
6308;1;no_data
6310;1;no_data
6312;1;no_data
6313;1;no_data
6314;1;no_data
6315;1;no_data
6316;1;no_data
6317;1;no_data
6318;1;no_data
6319;1;no_data
6320;1;no_data
6321;1;no_data
6322;0;no_data
6323;1;no_data
6324;1;no_data
6325;1;no_data
6326;0;no_data
6327;1;no_data
6328;0;no_data
6329;1;no_data
6330;1;no_data
6331;0;no_data
6332;1;no_data
6333;1;no_data
6334;1;no_data
6335;1;no_data
6336;0;no_data
6337;1;no_data
6338;0;no_data
6339;0;no_data
6340;0;no_data
6341;1;no_data
6342;1;no_data
6343;1;no_data
6344;1;no_data
6345;1;no_data
6346;0;no_data
6347;1;no_data
6348;1;no_data
6349;1;no_data
6416;1;no_data
6417;1;no_data
6420;1;no_data
6422;1;no_data
6424;1;no_data
6425;0;no_data
6426;1;no_data
6427;0;no_data
6428;1;no_data
6430;1;no_data
6431;1;no_data
6432;1;no_data
6456;1;no_data
6457;1;no_data
6468;1;no_data
6472;1;no_data
6473;1;no_data
6474;1;no_data
6477;1;no_data
6486;1;no_data
6488;1;no_data
6508;1;no_data
6509;1;no_data
6511;1;no_data
6512;1;no_data
6514;1;no_data
6515;1;no_data
6516;1;no_data
6517;1;no_data
6519;1;no_data
6520;1;no_data
6521;1;no_data
6523;1;no_data
6524;1;no_data
6525;1;no_data
6527;1;no_data
6528;1;no_data
6529;1;no_data
6530;0;no_data
6531;1;no_data
6532;1;no_data
6534;1;no_data
6535;1;no_data
6536;1;no_data
6537;1;no_data
6538;1;no_data
6539;1;no_data
6540;1;no_data
6541;1;no_data
