Sum - 11,Data,,
key,S_1,S_2,Total Result
15,1,1,2
16,1,1,2
17,1,1,2
18,0,,0
19,1,1,2
20,1,1,2
22,0,,0
23,1,1,2
24,1,1,2
26,1,1,2
27,1,1,2
29,1,1,2
30,1,1,2
31,1,1,2
32,1,1,2
33,1,1,2
34,1,1,2
35,1,1,2
36,1,1,2
38,1,1,2
39,1,1,2
41,1,1,2
42,1,1,2
43,1,1,2
44,1,1,2
46,1,1,2
48,1,1,2
49,0,,0
50,0,,0
51,1,,1
52,0,,0
53,0,,0
54,0,,0
55,1,,1
56,1,,1
57,1,,1
58,1,1,2
59,1,,1
60,1,1,2
61,1,,1
62,1,1,2
63,1,,1
64,1,,1
65,1,,1
66,1,,1
67,1,,1
68,1,,1
69,1,,1
70,0,,0
71,1,,1
72,1,,1
73,1,,1
76,1,,1
77,1,,1
78,1,,1
79,1,,1
80,1,,1
81,1,,1
82,1,1,2
83,1,,1
85,1,,1
86,1,,1
87,1,,1
88,1,,1
89,1,,1
90,1,,1
91,1,1,2
92,1,,1
93,1,1,2
94,1,,1
95,1,1,2
96,1,,1
97,1,,1
98,1,1,2
99,0,,0
100,1,,1
101,1,1,2
102,1,,1
105,1,,1
106,1,,1
108,1,,1
109,1,,1
110,1,,1
111,1,,1
112,1,1,2
113,1,1,2
115,1,1,2
116,1,,1
117,1,,1
118,1,,1
119,0,,0
120,1,,1
121,1,,1
123,0,,0
124,1,,1
125,1,1,2
126,1,1,2
128,1,1,2
129,1,1,2
130,1,1,2
131,1,1,2
132,1,1,2
133,1,1,2
134,1,1,2
135,1,,1
136,1,,1
137,0,,0
138,1,1,2
139,1,1,2
140,1,1,2
141,1,1,2
142,1,1,2
143,1,,1
144,1,1,2
145,1,,1
146,1,1,2
147,1,,1
148,1,,1
149,1,1,2
150,1,,1
151,1,1,2
152,1,,1
153,1,,1
155,1,1,2
156,1,1,2
157,1,1,2
158,1,1,2
159,1,,1
161,1,,1
163,1,,1
164,1,,1
165,1,,1
166,1,,1
167,1,,1
169,1,,1
170,1,,1
171,1,,1
172,1,,1
173,1,,1
174,1,,1
175,1,,1
176,1,,1
177,1,,1
178,1,,1
179,0,,0
180,1,,1
181,1,,1
182,1,,1
183,1,,1
184,1,,1
185,1,,1
186,0,,0
187,1,,1
188,1,,1
189,1,,1
191,1,1,2
192,1,,1
193,1,,1
195,1,1,2
196,1,,1
197,1,,1
198,1,,1
199,1,,1
200,1,,1
201,1,,1
202,1,,1
203,1,,1
204,1,,1
208,1,1,2
210,1,1,2
221,1,1,2
222,1,1,2
223,1,1,2
224,1,1,2
225,1,1,2
226,1,1,2
231,1,1,2
232,1,1,2
233,1,1,2
234,1,1,2
235,1,1,2
236,1,1,2
237,1,1,2
238,1,1,2
239,1,1,2
240,1,1,2
241,1,1,2
242,1,1,2
244,1,1,2
245,1,1,2
246,1,1,2
247,1,1,2
249,1,1,2
250,1,1,2
251,1,1,2
252,1,,1
253,1,,1
254,1,,1
255,1,,1
256,1,,1
257,1,,1
258,1,,1
259,1,,1
260,1,,1
261,1,,1
263,0,,0
264,1,,1
311,1,,1
312,1,,1
313,1,,1
314,1,,1
315,1,,1
316,1,,1
317,1,,1
321,1,1,2
324,1,1,2
325,1,1,2
326,1,1,2
329,1,1,2
330,1,1,2
331,1,1,2
333,1,1,2
342,1,,1
343,1,1,2
344,1,,1
345,1,,1
346,1,1,2
349,1,,1
350,1,1,2
352,1,1,2
353,1,,1
354,1,1,2
356,1,,1
358,1,1,2
360,1,,1
361,1,1,2
363,1,1,2
364,1,1,2
365,1,,1
371,1,,1
373,1,,1
375,1,,1
376,1,,1
377,1,,1
378,1,,1
379,1,,1
385,0,,0
386,1,1,2
387,1,1,2
391,1,1,2
392,1,1,2
393,1,1,2
395,1,1,2
396,1,1,2
398,1,1,2
399,1,1,2
400,1,1,2
402,1,1,2
403,1,1,2
404,1,1,2
405,1,1,2
410,1,1,2
411,1,1,2
412,1,1,2
413,1,1,2
414,1,1,2
415,1,1,2
417,1,1,2
418,1,1,2
426,1,1,2
427,1,1,2
429,1,1,2
430,1,1,2
441,1,,1
443,1,,1
444,1,,1
449,1,,1
457,1,,1
560,1,1,2
561,1,1,2
562,1,1,2
565,1,,1
567,1,1,2
568,1,1,2
569,1,1,2
570,1,1,2
571,1,1,2
575,1,1,2
576,1,1,2
577,1,1,2
578,1,,1
579,1,,1
580,1,1,2
581,1,1,2
582,1,1,2
583,1,1,2
584,1,1,2
585,1,,1
586,1,,1
587,1,,1
588,1,,1
589,1,1,2
590,1,,1
591,1,,1
592,1,1,2
593,1,1,2
594,1,,1
595,1,,1
596,1,,1
598,1,,1
599,1,,1
601,1,,1
602,1,,1
603,1,,1
604,1,,1
605,1,,1
606,1,,1
608,1,,1
609,1,,1
610,1,,1
611,1,,1
612,1,,1
615,1,,1
617,1,,1
618,1,,1
619,1,,1
620,1,,1
621,1,,1
624,1,,1
625,1,,1
626,1,,1
627,1,1,2
628,1,,1
629,1,,1
630,1,,1
638,1,,1
639,1,1,2
640,1,,1
641,1,1,2
642,1,1,2
643,1,1,2
644,1,,1
645,1,,1
646,1,,1
647,1,,1
648,1,,1
649,1,,1
651,1,,1
652,1,,1
660,1,1,2
663,1,1,2
665,1,1,2
695,1,1,2
697,1,1,2
701,1,,1
702,1,1,2
703,1,,1
704,1,1,2
706,1,1,2
708,1,1,2
710,1,1,2
716,1,1,2
726,1,1,2
730,1,1,2
734,1,1,2
776,1,1,2
777,1,1,2
778,1,1,2
779,1,1,2
780,1,1,2
781,1,1,2
789,1,1,2
790,1,1,2
792,1,1,2
793,1,1,2
800,1,1,2
801,1,1,2
802,1,1,2
803,1,1,2
804,1,1,2
806,1,1,2
807,1,1,2
808,1,1,2
809,1,1,2
815,1,1,2
816,1,1,2
817,1,1,2
818,1,1,2
819,1,1,2
820,1,1,2
827,1,1,2
828,1,1,2
834,1,1,2
858,1,1,2
859,1,1,2
860,1,1,2
862,1,1,2
863,1,1,2
864,1,1,2
865,1,,1
869,1,1,2
870,1,1,2
871,1,1,2
872,1,1,2
873,1,1,2
874,1,1,2
875,1,1,2
876,1,1,2
877,1,1,2
878,1,1,2
879,1,1,2
880,1,1,2
881,1,1,2
882,1,1,2
883,1,1,2
884,1,1,2
885,1,1,2
886,1,1,2
955,1,1,2
959,1,1,2
960,1,1,2
962,1,1,2
963,1,1,2
965,1,1,2
966,1,1,2
967,1,1,2
968,1,1,2
972,1,1,2
973,1,1,2
978,1,1,2
979,1,1,2
985,1,1,2
986,1,1,2
987,1,1,2
988,1,1,2
989,1,1,2
990,1,1,2
991,1,1,2
996,1,1,2
1002,1,1,2
1004,1,1,2
1017,1,1,2
1018,1,1,2
1021,1,1,2
1022,1,1,2
1090,1,1,2
1098,1,1,2
1105,1,1,2
1117,1,1,2
1118,1,1,2
1122,1,1,2
1123,1,1,2
1136,1,1,2
1165,1,1,2
1169,1,1,2
1181,1,1,2
1182,1,1,2
1183,1,1,2
1187,1,1,2
1206,1,1,2
1208,1,1,2
1209,1,1,2
1210,1,1,2
1211,1,1,2
1212,1,1,2
1213,1,1,2
1215,1,1,2
1216,1,1,2
1229,1,1,2
1254,1,1,2
1299,1,1,2
1301,1,,1
1302,1,1,2
1304,1,1,2
1305,1,1,2
1308,1,1,2
1310,1,1,2
1311,1,1,2
1312,1,1,2
1314,1,1,2
1315,1,,1
1317,1,1,2
1318,1,1,2
1319,1,,1
1320,1,1,2
1321,1,1,2
1322,1,1,2
1323,1,1,2
1324,1,1,2
1325,1,1,2
1326,1,1,2
1327,1,1,2
1328,1,1,2
1329,1,1,2
1330,1,1,2
1331,1,1,2
1332,1,1,2
1333,1,1,2
1334,1,1,2
1337,1,1,2
1338,1,1,2
1339,1,1,2
1340,1,1,2
1342,1,1,2
1346,1,,1
1377,1,1,2
1382,1,1,2
1388,1,1,2
1389,1,1,2
1393,1,1,2
1404,1,1,2
1405,1,1,2
1407,1,1,2
1411,1,1,2
1414,1,1,2
1416,1,1,2
1418,1,,1
1422,1,1,2
1423,1,1,2
1436,1,1,2
1440,1,1,2
1442,1,1,2
1446,1,1,2
1447,1,1,2
1455,1,,1
1456,1,,1
1465,1,,1
1467,1,,1
1468,0,,0
1469,1,,1
1470,1,1,2
1471,1,1,2
1472,1,1,2
1473,1,1,2
1475,1,1,2
1476,1,1,2
1477,1,1,2
1478,1,1,2
1479,1,1,2
1480,1,1,2
1481,1,1,2
1482,1,1,2
1483,1,1,2
1484,1,1,2
1485,1,1,2
1486,1,1,2
1497,1,1,2
1498,1,1,2
1499,1,1,2
1500,1,1,2
1501,1,1,2
1502,1,1,2
1503,1,1,2
1504,1,1,2
1505,1,1,2
1506,1,1,2
1507,1,1,2
1508,1,1,2
1509,1,1,2
1510,1,1,2
1511,1,1,2
1514,1,1,2
1515,1,1,2
1516,1,1,2
1517,1,1,2
1519,1,1,2
1520,1,1,2
1522,1,1,2
1523,1,1,2
1525,1,1,2
1526,1,1,2
1527,1,,1
1528,1,1,2
1529,1,1,2
1530,1,,1
1531,1,,1
1532,1,1,2
1533,1,,1
1539,1,1,2
1550,1,,1
1551,1,,1
1552,1,,1
1553,1,,1
1554,1,1,2
1555,1,,1
1556,0,,0
1557,1,1,2
1558,1,,1
1559,1,,1
1560,0,,0
1562,1,,1
1563,1,1,2
1564,1,1,2
1567,1,1,2
1569,1,,1
1570,1,,1
1571,1,1,2
1572,0,,0
1573,0,,0
1574,1,,1
1575,0,,0
1576,1,,1
1577,1,,1
1579,1,1,2
1581,1,1,2
1582,1,,1
1587,1,1,2
1588,1,1,2
1589,1,1,2
1590,1,1,2
1591,1,1,2
1592,1,1,2
1593,1,1,2
1594,1,1,2
1596,1,1,2
1598,1,1,2
1600,1,1,2
1603,1,1,2
1604,1,1,2
1605,1,1,2
1612,1,1,2
1613,1,1,2
1614,1,1,2
1615,1,1,2
1616,1,1,2
1617,1,1,2
1618,1,1,2
1619,1,1,2
1622,1,1,2
1624,1,1,2
1625,1,1,2
1626,1,1,2
1627,1,1,2
1628,1,1,2
1629,1,1,2
1630,1,1,2
1631,1,1,2
1632,1,1,2
1636,1,1,2
1637,1,1,2
1642,1,1,2
1643,1,,1
1644,1,1,2
1645,1,1,2
1648,1,1,2
1649,1,1,2
1650,1,1,2
1652,1,1,2
1653,1,1,2
1654,1,1,2
1655,1,1,2
1656,1,1,2
1659,1,1,2
1660,1,1,2
1661,1,1,2
1662,1,1,2
1663,1,1,2
1664,1,1,2
1672,1,1,2
1673,1,1,2
1674,1,1,2
1686,0,,0
1699,1,1,2
1703,1,1,2
1704,1,1,2
1705,1,1,2
1706,1,1,2
1707,1,1,2
1709,1,1,2
1710,1,1,2
1711,1,1,2
1713,1,1,2
1715,1,1,2
1716,1,1,2
1718,1,1,2
1721,1,1,2
1722,1,1,2
1723,1,1,2
1724,1,1,2
1725,1,1,2
1729,1,1,2
1730,1,1,2
1732,1,1,2
1733,1,1,2
1734,1,1,2
1736,1,1,2
1738,1,1,2
1739,1,,1
1740,1,1,2
1741,1,1,2
1742,1,1,2
1743,1,1,2
1744,1,1,2
1745,1,1,2
1746,1,1,2
1747,1,1,2
1749,1,1,2
1750,1,1,2
1751,1,1,2
1752,1,1,2
1754,1,1,2
1761,1,1,2
1762,1,1,2
1763,1,1,2
1764,1,1,2
1768,1,1,2
1769,1,1,2
1773,1,1,2
1775,1,1,2
1777,1,1,2
1780,1,1,2
1781,1,1,2
1782,1,1,2
1786,1,1,2
1787,1,1,2
1790,1,1,2
1791,1,1,2
1792,1,1,2
1805,1,1,2
1808,1,1,2
1809,1,1,2
1810,1,1,2
1814,1,1,2
1816,1,1,2
1826,1,1,2
1827,1,1,2
1828,1,,1
1829,1,1,2
1830,1,1,2
1831,1,1,2
1833,1,1,2
1834,1,1,2
1835,1,1,2
1836,1,1,2
1837,1,1,2
1839,1,1,2
1840,1,1,2
1841,1,1,2
1851,1,1,2
1852,1,1,2
1853,1,1,2
1854,1,1,2
1855,1,1,2
1856,1,1,2
1857,1,1,2
1858,1,1,2
1860,1,1,2
1862,1,1,2
1864,1,1,2
1865,1,1,2
1866,1,1,2
1867,1,1,2
1868,1,1,2
1869,1,1,2
1870,1,1,2
1871,1,1,2
1872,1,1,2
1873,1,1,2
1875,1,1,2
1876,1,1,2
1877,1,1,2
1878,1,1,2
1879,1,1,2
1881,1,1,2
1882,1,1,2
1883,1,1,2
1884,1,1,2
1885,1,1,2
1886,1,1,2
1887,1,1,2
1888,1,1,2
1889,1,1,2
1891,1,1,2
1892,1,1,2
1894,1,1,2
1901,1,1,2
1902,1,1,2
1903,1,1,2
1905,1,1,2
1906,1,1,2
1907,1,1,2
1908,1,1,2
1911,1,1,2
1932,1,1,2
1933,1,1,2
1934,1,1,2
1935,1,1,2
1936,1,1,2
1937,1,1,2
1938,1,1,2
1939,1,1,2
1940,1,1,2
1941,1,1,2
1942,1,1,2
1943,1,,1
1944,1,1,2
1945,1,1,2
1947,1,1,2
1948,1,1,2
1981,1,1,2
2017,1,1,2
2018,1,1,2
2019,1,1,2
2020,1,1,2
2021,1,1,2
2028,1,1,2
2030,1,,1
2036,1,1,2
2038,1,,1
2042,1,1,2
2043,1,,1
2044,1,1,2
2050,0,,0
2052,1,1,2
2053,1,1,2
2058,1,1,2
2060,1,1,2
2064,1,1,2
2073,1,,1
2077,1,1,2
2078,1,,1
2080,1,,1
2084,1,,1
2091,1,1,2
2092,1,1,2
2095,1,1,2
2099,1,1,2
2108,1,1,2
2109,1,1,2
2110,1,1,2
2111,1,1,2
2113,1,1,2
2114,1,1,2
2123,1,,1
2124,1,,1
2127,1,1,2
2128,1,1,2
2129,1,1,2
2130,1,1,2
2131,1,1,2
2138,1,,1
2140,1,,1
2141,1,,1
2143,1,,1
2144,1,,1
2145,1,,1
2146,1,,1
2147,1,,1
2148,1,,1
2149,1,,1
2150,1,,1
2151,1,,1
2153,1,1,2
2154,1,1,2
2155,1,1,2
2156,1,1,2
2158,1,1,2
2159,1,1,2
2160,1,1,2
2161,1,1,2
2164,1,1,2
2165,0,,0
2166,1,1,2
2167,1,1,2
2169,1,1,2
2170,1,1,2
2171,1,1,2
2172,1,1,2
2173,1,1,2
2174,1,1,2
2175,1,1,2
2177,1,1,2
2178,1,1,2
2179,1,1,2
2180,1,1,2
2181,1,,1
2190,1,1,2
2191,1,1,2
2192,1,1,2
2193,1,1,2
2194,1,1,2
2195,1,1,2
2199,1,1,2
2200,1,1,2
2201,1,1,2
2219,1,,1
2221,1,1,2
2222,1,1,2
2223,1,1,2
2224,1,1,2
2235,1,1,2
2236,1,1,2
2237,1,1,2
2238,1,1,2
2239,1,1,2
2240,1,1,2
