ключ;признак для сравнения
99982;1
99981;1
99959;1
99954;1
99945;1
99942;1
99939;1
99937;1
99935;1
99934;1
99929;1
99927;1
99922;1
99919;1
99912;1
99911;1
99909;1
99907;1
99906;1
99900;1
99895;1
99894;1
99892;1
99889;1
99886;1
99885;1
99884;1
99883;1
99881;1
99880;1
99879;1
99876;1
99875;1
99868;1
99864;1
99860;1
99854;1
99853;1
99852;1
99851;1
99850;1
99849;1
99848;1
99847;1
99846;1
99845;1
99837;1
99836;1
99827;1
99820;1
99819;1
99818;1
99817;1
99816;1
99815;1
99814;1
99813;1
99812;1
99811;1
99810;1
99801;1
99800;1
99799;1
99798;1
99797;1
99796;1
99795;1
99790;1
99789;1
99787;1
99784;1
99783;1
99773;1
99770;1
99769;1
99768;1
99766;1
99765;1
99763;1
99754;1
99747;1
99746;1
99745;1
99744;1
99742;1
99741;1
99738;1
99737;1
99736;1
99734;1
99733;1
99732;1
99731;1
99730;1
99729;1
99725;1
99723;1
99722;1
99721;1
99720;1
99719;1
99705;1
99704;1
99703;1
99702;1
99700;1
99698;1
99697;1
99696;1
99686;1
99684;1
99682;1
99681;1
99679;1
99667;1
99665;1
99664;1
99662;1
99658;1
99657;1
99656;1
99655;1
99629;1
99626;1
99625;1
99624;1
99623;1
99622;1
99615;1
99612;1
99610;1
99602;1
996;1
9959;1
99587;1
99586;1
99585;1
99584;1
99582;1
99581;1
99580;1
99576;1
99575;1
99574;1
99573;1
99572;1
99571;1
99570;1
99569;1
99568;1
99567;1
99565;1
99564;1
99563;1
99562;1
99561;1
99560;1
99558;1
99553;1
99552;1
99551;1
99550;1
99549;1
99548;1
99547;1
99546;1
99545;1
99540;1
99539;1
99538;1
99537;1
99536;1
99535;1
99533;1
99530;1
99529;1
99528;1
99527;1
99526;1
99525;1
99520;1
99513;1
99508;1
99507;1
99506;1
99505;1
99503;1
99502;1
9939;1
99314;1
99313;1
99312;1
99310;1
99309;1
99308;1
99307;1
99306;1
99305;1
99304;1
99303;1
99302;1
99301;1
99300;1
99298;1
99297;1
99296;1
99289;1
99287;1
99285;1
99284;1
99283;1
99282;1
99281;1
99280;1
99279;1
99278;1
99266;1
99265;1
99261;1
99258;1
99246;1
99244;1
99237;1
99236;1
99211;1
99210;1
99209;1
99204;1
99203;1
99202;1
99200;1
99199;1
99197;1
99191;1
99190;1
99189;1
99188;1
99168;1
99167;1
99162;1
99160;1
99159;1
99154;1
99150;1
99149;1
99148;1
99146;1
99145;1
99144;1
99137;1
991;1
99065;1
99053;1
99019;1
99000;1
990;1
98989;1
98983;1
98974;1
98973;1
98971;1
98966;1
98965;1
98964;1
98963;1
98962;1
98961;1
98960;1
98959;1
98958;1
98957;1
98952;1
98951;1
98940;1
98933;1
98932;1
98931;1
98930;1
98929;1
989;1
98889;1
98887;1
98870;1
98807;1
98806;1
98805;1
98800;1
988;1
98799;1
98798;1
98782;1
98773;1
98772;1
98769;1
98768;1
98767;1
98764;1
98762;1
98761;1
98741;1
98725;1
98709;1
98703;1
987;1
98695;1
98694;1
98693;1
98692;1
98691;1
98690;1
98689;1
98688;1
98687;1
98686;1
98685;1
98684;1
98683;1
98682;1
98681;1
98680;1
98675;1
98674;1
98673;1
98672;1
98671;1
98669;1
98667;1
98666;1
98664;1
98662;1
98661;1
98658;1
98654;1
98644;1
98641;1
98623;1
98622;1
98621;1
9862;1
9861;1
98608;1
98607;1
98606;1
98605;1
98604;1
98603;1
98602;1
98601;1
98600;1
9860;1
986;1
98598;1
98593;1
98592;1
98591;1
98590;1
9859;1
98589;1
98588;1
98587;1
98585;1
9858;1
98576;1
98574;1
98573;1
98572;1
98571;1
98570;1
98567;1
98566;1
98565;1
98564;1
98563;1
98562;1
98550;1
98549;1
98547;1
98546;1
98545;1
98544;1
98542;1
98541;1
98540;1
9854;1
98538;1
98537;1
98536;1
98535;1
98533;1
98532;1
98531;1
98530;1
98529;1
98528;1
98527;1
98525;1
98522;1
98520;1
98519;1
98518;1
98517;1
98516;1
98515;1
98514;1
98513;1
98512;1
98511;1
98510;1
9851;1
9850;1
985;1
98492;1
98490;1
9849;1
98489;1
98488;1
98487;1
98485;1
98484;1
98481;1
98480;1
9848;1
98478;1
98477;1
98476;1
98475;1
98470;1
98469;1
98468;1
98467;1
98464;1
98457;1
9845;1
98447;1
98446;1
98445;1
98443;1
9844;1
98439;1
98438;1
98437;1
98435;1
98433;1
9843;1
9842;1
98415;1
98413;1
98411;1
98409;1
98408;1
98406;1
98403;1
98402;1
98390;1
98389;1
98387;1
98385;1
98384;1
98383;1
98382;1
98381;1
98380;1
98379;1
98378;1
98376;1
98375;1
98373;1
98372;1
98371;1
98369;1
98367;1
98365;1
98364;1
98363;1
98362;1
98361;1
98360;1
98359;1
98358;1
98357;1
98356;1
98349;1
98348;1
98347;1
98346;1
98345;1
98344;1
98343;1
98335;1
98334;1
98333;1
98318;1
98301;1
98279;1
98277;1
98275;1
